Trigger Time: 999.6875 ms
time,x,y,z
223.125,22,8,-30
223.4375,12,-4,-42
223.75,30,0,-28
224.0625,24,-12,-36
224.375,32,-4,-22
224.6875,28,0,-36
225,28,-6,-26
225.3125,26,0,-26
225.625,28,0,-24
225.9375,42,0,-26
226.25,24,2,-42
226.5625,28,0,-26
226.875,24,8,-14
227.1875,32,0,-28
227.5,26,12,-32
227.8125,20,-10,-28
228.125,28,0,-36
228.4375,40,-14,-32
228.75,36,2,-24
229.0625,34,0,-4
229.375,26,-4,-36
229.6875,24,-12,-56
230,16,18,-42
230.3125,30,4,-26
230.625,20,-8,-22
230.9375,28,0,-24
231.25,28,0,-24
231.5625,30,-12,-26
231.875,28,-8,-28
232.1875,36,0,-12
232.5,34,-4,-22
232.8125,38,0,0
233.125,30,2,-30
233.4375,38,0,-48
233.75,26,0,-32
234.0625,26,14,-22
234.375,24,-4,-30
234.6875,32,-2,-32
235,36,-10,-22
235.3125,28,0,-26
235.625,16,8,-52
235.9375,20,2,-46
236.25,30,-10,12
236.5625,46,0,-18
236.875,34,0,-20
237.1875,22,10,-34
237.5,30,0,-28
237.8125,32,0,-34
238.125,16,0,-16
238.4375,34,4,-18
238.75,38,-10,-34
239.0625,40,0,-10
239.375,24,0,-36
239.6875,36,8,-20
240,30,-4,-30
240.3125,30,0,-62
240.625,30,0,-30
240.9375,22,4,-32
241.25,26,-4,-36
241.5625,36,0,-24
241.875,52,-10,-24
242.1875,28,-8,-28
242.5,26,0,-10
242.8125,24,8,-36
243.125,28,-4,-34
243.4375,30,-4,-18
243.75,30,-4,-30
244.0625,28,-4,-38
244.375,26,-10,-34
244.6875,40,0,-18
245,24,-6,-34
245.3125,22,-24,-32
245.625,32,4,-16
245.9375,32,0,-10
246.25,16,-6,-8
246.5625,30,0,-26
246.875,28,-4,-14
247.1875,30,0,-28
247.5,30,0,-28
247.8125,20,0,-46
248.125,20,0,-34
248.4375,26,-8,-32
248.75,24,0,-26
249.0625,38,-24,-28
249.375,36,-12,-22
249.6875,32,6,-24
250,28,-14,-30
250.3125,46,0,-28
250.625,26,0,-34
250.9375,28,-14,-20
251.25,22,0,-26
251.5625,28,6,-38
251.875,28,-4,-28
252.1875,56,-10,-22
252.5,14,4,-28
252.8125,30,0,-26
253.125,26,0,-12
253.4375,28,-4,-30
253.75,24,-8,-48
254.0625,22,4,-36
254.375,32,-4,-30
254.6875,32,-10,-26
255,44,2,-20
255.3125,24,0,-42
255.625,24,-18,-32
255.9375,28,2,-34
256.25,30,-12,14
256.5625,42,0,-26
256.875,26,-6,-36
257.1875,36,0,-30
257.5,28,0,-40
257.8125,32,0,-16
258.125,30,-8,-32
258.4375,28,-6,-44
258.75,50,14,-28
259.0625,16,4,-30
259.375,32,0,-30
259.6875,30,-8,-38
260,22,-6,-22
260.3125,30,0,-36
260.625,20,0,-28
260.9375,26,0,-28
261.25,28,-8,-36
261.5625,30,4,-24
261.875,40,-16,-18
262.1875,28,0,-50
262.5,34,-4,-26
262.8125,28,0,-24
263.125,28,-6,-32
263.4375,44,-4,-28
263.75,32,0,-34
264.0625,28,-4,-26
264.375,28,-12,-30
264.6875,30,-6,-16
265,24,18,-32
265.3125,16,8,-40
265.625,28,-16,0
265.9375,36,-6,-14
266.25,26,0,-40
266.5625,24,-4,-32
266.875,22,14,-24
267.1875,22,0,-28
267.5,26,0,-34
267.8125,18,0,-32
268.125,30,0,-34
268.4375,40,0,-8
268.75,26,2,-38
269.0625,30,4,-34
269.375,38,-4,-46
269.6875,28,0,-26
270,32,0,-26
270.3125,18,0,-38
270.625,24,-6,-28
270.9375,32,-6,-20
271.25,34,4,-20
271.5625,24,0,-12
271.875,26,-10,-20
272.1875,32,-10,-22
272.5,32,0,-20
272.8125,30,0,-32
273.125,20,14,-28
273.4375,26,-8,-30
273.75,38,0,-38
274.0625,30,-2,-22
274.375,26,-12,-26
274.6875,34,0,-24
275,48,-2,-16
275.3125,32,2,-22
275.625,6,12,-30
275.9375,32,0,-22
276.25,28,6,-38
276.5625,16,0,-32
276.875,30,-16,-28
277.1875,32,-2,-30
277.5,34,-10,-34
277.8125,24,0,-20
278.125,22,0,-26
278.4375,22,2,-20
278.75,50,-6,-16
279.0625,42,0,-8
279.375,34,0,-32
279.6875,46,-6,-30
280,22,0,-12
280.3125,26,0,-34
280.625,24,0,-30
280.9375,28,-6,-38
281.25,24,-4,-34
281.5625,20,0,-36
281.875,26,10,-34
282.1875,34,-18,-20
282.5,38,-8,-32
282.8125,22,2,-42
283.125,22,0,-26
283.4375,30,6,-30
283.75,18,0,-26
284.0625,32,-4,-20
284.375,30,-14,-28
284.6875,24,-6,-38
285,10,10,-30
285.3125,16,14,-46
285.625,28,0,-32
285.9375,24,-18,-10
286.25,32,0,-32
286.5625,30,2,-60
286.875,22,0,-22
287.1875,28,-2,-26
287.5,30,-4,-30
287.8125,28,-2,-28
288.125,22,4,-34
288.4375,30,4,-28
288.75,32,-18,-18
289.0625,30,0,0
289.375,36,-4,-50
289.6875,28,-8,-66
290,22,-6,-30
290.3125,30,0,-16
290.625,34,0,-26
290.9375,20,0,-36
291.25,40,0,-26
291.5625,48,-4,-22
291.875,28,-6,-14
292.1875,20,0,-40
292.5,36,-22,-22
292.8125,28,0,-28
293.125,28,-8,18
293.4375,38,2,-20
293.75,22,6,-36
294.0625,24,-4,-26
294.375,26,4,-32
294.6875,16,6,-22
295,38,-8,-16
295.3125,24,6,-24
295.625,18,14,-40
295.9375,28,0,-30
296.25,52,-16,0
296.5625,40,-4,-30
296.875,30,-18,-38
297.1875,20,0,-28
297.5,24,-8,-34
297.8125,14,0,-22
298.125,32,4,-20
298.4375,20,-18,-38
298.75,32,-10,-20
299.0625,26,20,-18
299.375,24,4,-30
299.6875,28,0,-4
300,38,0,-18
300.3125,34,-4,-20
300.625,20,0,-28
300.9375,30,0,-32
301.25,32,-12,-36
301.5625,34,-10,-24
301.875,12,0,-30
302.1875,22,2,-10
302.5,30,-4,-24
302.8125,40,8,0
303.125,32,0,-26
303.4375,28,12,-26
303.75,14,0,-32
304.0625,24,0,-32
304.375,18,10,-28
304.6875,28,0,-36
305,50,-8,-20
305.3125,22,0,-8
305.625,26,-8,-34
305.9375,28,-4,-14
306.25,28,0,-48
306.5625,12,-4,-34
306.875,36,-10,-26
307.1875,24,0,-40
307.5,26,2,-36
307.8125,34,-8,-30
308.125,30,-8,-36
308.4375,50,-12,-26
308.75,22,2,-44
309.0625,28,6,-30
309.375,34,0,-50
309.6875,30,-4,-32
310,24,-4,-46
310.3125,30,0,-24
310.625,26,2,-40
310.9375,36,-14,-32
311.25,28,0,-36
311.5625,28,-8,-26
311.875,24,0,-20
312.1875,24,16,-8
312.5,36,-10,-28
312.8125,28,0,-62
313.125,24,-6,-26
313.4375,30,-6,0
313.75,32,-4,-28
314.0625,24,0,-32
314.375,22,0,-36
314.6875,24,0,-28
315,44,-12,-20
315.3125,26,-8,-28
315.625,26,0,-30
315.9375,10,18,-50
316.25,30,0,-32
316.5625,28,-4,-16
316.875,32,0,-28
317.1875,30,-6,-24
317.5,28,0,-34
317.8125,24,-16,-34
318.125,34,2,-18
318.4375,60,4,-20
318.75,34,0,0
319.0625,32,-6,-30
319.375,32,14,-30
319.6875,28,-4,-30
320,32,-8,-30
320.3125,16,0,-30
320.625,24,0,-36
320.9375,38,0,-24
321.25,26,-2,-38
321.5625,16,-6,-36
321.875,48,-12,-18
322.1875,30,6,-26
322.5,26,-4,-46
322.8125,14,0,-14
323.125,30,0,-34
323.4375,28,0,-26
323.75,28,0,-20
324.0625,28,-8,-36
324.375,38,4,-16
324.6875,38,-16,-18
325,18,0,-28
325.3125,22,-8,-26
325.625,28,0,-42
325.9375,16,0,-32
326.25,24,0,-34
326.5625,30,0,-26
326.875,22,0,-30
327.1875,34,-4,-22
327.5,24,-8,-32
327.8125,52,-10,-16
328.125,26,0,-20
328.4375,18,-16,-34
328.75,20,-12,-32
329.0625,32,0,-58
329.375,26,-6,-24
329.6875,20,0,-28
330,26,0,-36
330.3125,22,0,-30
330.625,34,0,-8
330.9375,40,16,-16
331.25,32,-10,-18
331.5625,20,-16,-42
331.875,30,2,-28
332.1875,22,0,-58
332.5,26,-4,-30
332.8125,26,0,-44
333.125,26,-12,-24
333.4375,26,0,-26
333.75,28,0,-34
334.0625,34,-10,-38
334.375,20,0,-16
334.6875,42,-16,-14
335,32,0,-40
335.3125,28,-10,-16
335.625,30,12,-28
335.9375,26,6,-24
336.25,26,0,-18
336.5625,34,0,-24
336.875,38,0,-20
337.1875,32,0,-18
337.5,24,2,-26
337.8125,22,4,-36
338.125,26,-14,4
338.4375,50,8,-42
338.75,30,6,-30
339.0625,28,8,-28
339.375,2,0,-30
339.6875,22,0,-36
340,32,0,-30
340.3125,20,4,-22
340.625,48,0,-26
340.9375,40,4,-14
341.25,28,0,-28
341.5625,30,-18,-6
341.875,32,0,-28
342.1875,28,10,-56
342.5,32,-4,-30
342.8125,30,0,-32
343.125,24,-10,-26
343.4375,34,0,-18
343.75,40,-16,-32
344.0625,30,0,-40
344.375,18,2,-70
344.6875,34,-4,0
345,50,-10,-52
345.3125,24,-6,-24
345.625,30,0,-20
345.9375,26,0,-22
346.25,30,0,-32
346.5625,30,6,-38
346.875,20,0,-28
347.1875,26,-8,-16
347.5,30,0,-30
347.8125,34,-12,-20
348.125,28,0,2
348.4375,30,0,-30
348.75,26,0,-34
349.0625,20,0,-26
349.375,34,0,-36
